text,label
Drinking alcohol excessively,Bad habit
Taking the time to connect with friends and family regularly,Good Habit
Getting outside in nature every day,Good Habit
"Finding ways to reduce stress through exercise, mindfulness, or other techniques",Good Habit
Spending too much money on unnecessary things,Bad habit
Drinking herbal tea before bed,Good Habit
Not washing your hands enough,Bad habit
Investing in quality sleep by creating a calming bedtime routine,Good Habit
Being too hard on others,Bad habit
Being unaware of your own emotions and reactions,Bad habit
Taking breaks from work to engage in physical activity or movement,Good Habit
Being mindful of one's breath,Good Habit
Being too stubborn,Bad habit
Taking time to express gratitude towards loved ones,Good Habit
Not keeping a journal,Bad habit
Being disorganized,Bad habit
Not taking care of your personal finances,Bad habit
Skipping workouts regularly,Bad habit
Skipping breakfast regularly,Bad habit
Not being consistent with daily routines,Bad habit
Taking care of personal grooming and appearance,Good Habit
Overusing your credit card and getting into debt,Bad habit
Taking a cold shower in the morning,Good Habit
Not getting enough vitamins and minerals,Bad habit
Not being able to forgive others,Bad habit
Overusing your credit card,Bad habit
Keeping a daily planner or journal to stay organized and track progress,Good Habit
Eating fast food on a regular basis,Bad habit
Making time for hobbies and interests,Good Habit
Taking vitamins every day,Good Habit
Drinking plenty of water throughout the day to stay hydrated,Good Habit
Constantly complaining about everything around you,Bad habit
Surrounding yourself with positive people,Good Habit
Practicing self-discipline and sticking to a routine or schedule,Good Habit
"Saying ""no"" when necessary",Good Habit
Reducing meat consumption to promote environmental sustainability and animal welfare,Good Habit
Constantly checking your phone during conversations,Bad habit
Eating a balanced diet with whole foods,Good Habit
Not setting professional goals,Bad habit
Writing in a journal every day,Good Habit
Finding ways to incorporate laughter into daily routine for stress relief,Good Habit
Being too sensitive to criticism,Bad habit
Not being open to new experiences,Bad habit
Not drinking enough tea or coffee,Bad habit
Not wearing sunscreen regularly,Bad habit
Interrupting regular sleep schedule on weekends,Bad habit
Being unable to admit your own mistakes,Bad habit
Using public parks and green spaces to connect with nature and promote well-being,Good Habit
Keeping a tidy home or workspace,Good Habit
Constantly snacking on unhealthy foods throughout the day,Bad habit
Celebrating small accomplishments,Good Habit
Leaving lights on when leaving a room,Bad habit
Being unable to apologize when you're wrong,Bad habit
"Saying ""I love you"" more often",Good Habit
Staying up too late regularly,Bad habit
Being mindful of environmental impact and making choices to reduce waste and conserve resources,Good Habit
"Celebrating progress, not just perfection",Good Habit
Taking care of one's mental health,Good Habit
"Using reusable bags, water bottles, and containers to reduce waste",Good Habit
Taking a break from social media or setting limits on its use,Good Habit
Being chronically late to appointments and events,Bad habit
Being overly attached to your phone and social media,Bad habit
Taking a break from technology,Good Habit
Leaving dishes in the sink,Bad habit
Not being able to prioritize tasks effectively,Bad habit
Not spending enough time in nature,Bad habit
Not following through with goals,Bad habit
Spending time with loved ones,Good Habit
Forgetting to floss daily,Bad habit
Setting realistic goals and working towards them consistently,Good Habit
Doing a physical activity you enjoy every day,Good Habit
Ignoring your body language and how it affects others,Bad habit
Being respectful towards others,Good Habit
Setting healthy boundaries with others to promote positive relationships,Good Habit
Not being aware of your emotions,Bad habit
Not learning new skills regularly,Bad habit
Taking a break from social media,Good Habit
Being too hard on yourself,Bad habit
Not getting enough sunlight regularly,Bad habit
Not taking breaks from work throughout the day,Bad habit
Practicing good hygiene by washing hands regularly,Good Habit
Practicing active gratitude by listing three things you're grateful for each day,Good Habit
Not wearing a seatbelt while driving,Bad habit
Watching less TV or social media,Good Habit
Taking care of mental health by seeking therapy or counseling,Good Habit
Not actively listening during conversations,Bad habit
Staying up too late watching TV or Netflix,Bad habit
Not taking enough vacations,Bad habit
Not taking time to meditate or relax,Bad habit
Practicing active listening with loved ones to improve relationships,Good Habit
Practicing self-compassion and kindness towards oneself,Good Habit
Being punctual and reliable,Good Habit
Spending too much money on unnecessary purchases,Bad habit
Not being aware of your breathing patterns during stressful situations,Bad habit
Not taking care of your mental health,Bad habit
Not cleaning up after yourself in public places,Bad habit
Being grateful for what one has,Good Habit
Drinking herbal tea instead of coffee,Good Habit
Constantly snacking throughout the day,Bad habit
Practicing forgiveness towards oneself and others,Good Habit
Eating junk food late at night,Bad habit
Spending time with pets to promote emotional well-being,Good Habit
Being overly critical of others,Bad habit
Finding ways to stay connected with loved ones who live far away,Good Habit
Being too critical of others,Bad habit
Using positive self-talk to promote self-confidence and self-esteem,Good Habit
Being too quick to judge others unfairly,Bad habit
Stretching every morning,Good Habit
Incorporating more plant-based meals into one's diet,Good Habit
Finding ways to reduce stress through hobbies or creative pursuits,Good Habit
Being unable to handle constructive criticism,Bad habit
Practicing mindfulness throughout the day,Good Habit
Not taking oneself too seriously,Good Habit
Not saving enough for retirement,Bad habit
Not being able to make decisions,Bad habit
Being mindful of one's water usage and finding ways to conserve water,Good Habit
Not allowing yourself enough rest and recovery time,Bad habit
Losing control of your temper frequently,Bad habit
Practicing good hand hygiene to prevent illness and the spread of germs,Good Habit
Helping others achieve their goals,Good Habit
Skipping annual medical checkups,Bad habit
Not being mindful of your impact on the environment,Bad habit
Skipping breakfast,Bad habit
Staying up late and not getting enough rest,Bad habit
Neglecting personal hygiene,Bad habit
Ignoring your spiritual well-being,Bad habit
Keeping a positive attitude and reframing negative thoughts,Good Habit
Being open to new experiences,Good Habit
Taking time to stretch during the workday,Good Habit
Engaging in hobbies or interests outside of work,Good Habit
Taking breaks from screens throughout the day,Good Habit
Procrastinating on important tasks,Bad habit
Not reading enough books,Bad habit
Not being able to handle failure,Bad habit
Neglecting your mental health and wellbeing,Bad habit
Not following through with commitments to others,Bad habit
Not being able to accept compliments,Bad habit
"Finding ways to reduce stress, such as through meditation or deep breathing",Good Habit
Watching too much TV or spending too much time on social media,Bad habit
"Learning to say ""sorry"" when needed",Good Habit
Not taking things personally,Good Habit
Accepting feedback graciously,Good Habit
Not expressing gratitude regularly,Bad habit
Being mindful of one's waste and finding ways to reduce it,Good Habit
Practicing positive self-talk,Good Habit
Not sticking to a consistent daily routine,Bad habit
Setting aside time for self-care,Good Habit
Not setting personal goals,Bad habit
"Saying ""goodbye"" to toxic relationships",Good Habit
Ignoring regular dental checkups,Bad habit
Taking a break from alcohol or other substances,Good Habit
Taking time to enjoy hobbies or interests,Good Habit
Reading regularly to promote cognitive function and expand knowledge,Good Habit
Not being able to concentrate for long periods,Bad habit
"Incorporating more low-impact exercises, such as swimming or walking, into one's routine",Good Habit
Incorporating music into daily routine for relaxation or motivation,Good Habit
Not stretching regularly throughout the day,Bad habit
Going to bed early and waking up early,Good Habit
Taking a day off when feeling stressed or overwhelmed,Good Habit
Not being aware of your breathing patterns,Bad habit
Not getting enough fresh air daily,Bad habit
Texting while walking in public,Bad habit
Not washing hands regularly,Bad habit
Reducing screen time before bed to improve sleep quality,Good Habit
Biting your nails when you're nervous,Bad habit
Not drinking enough water throughout the day,Bad habit
Taking care of one's skin by moisturizing and protecting from the sun,Good Habit
Using natural or non-toxic cleaning products,Good Habit
Practicing good communication skills by actively listening and expressing oneself clearly,Good Habit
Using foul language in public,Bad habit
Texting while driving,Bad habit
Not flossing regularly,Bad habit
Not keeping up with personal hygiene,Bad habit
Avoiding negative self-talk,Good Habit
Prioritizing time for rest and relaxation,Good Habit
Engaging in regular exercise or physical activity,Good Habit
Taking the time to cook healthy meals,Good Habit
"Saying ""yes"" to new opportunities",Good Habit
Practicing good posture while sitting and standing,Good Habit
Not cleaning up after yourself,Bad habit
Using your phone while driving,Bad habit
Overeating junk food frequently,Bad habit
Being empathetic towards others,Good Habit
Consistently having a negative attitude and mindset,Bad habit
Not being able to say no when necessary,Bad habit
Celebrating diversity,Good Habit
Not exploring new hobbies and interests,Bad habit
Not taking care of your emotional health,Bad habit
Having a designated space for personal meditation or reflection,Good Habit
"Engaging in regular self-care activities, such as taking a bath or getting a massage",Good Habit
Talking over others during conversations,Bad habit
Practicing patience and tolerance with others,Good Habit
Being kind to oneself,Good Habit
Reading a book before bed,Good Habit
Texting while walking,Bad habit
Smiling more often,Good Habit
Helping others without expecting anything in return,Good Habit
Complimenting others more often,Good Habit
Practicing active listening,Good Habit
Avoiding processed foods and sugar,Good Habit
Being mindful of one's impact on others and the world around them,Good Habit
Biting your lip or cheek regularly,Bad habit
Leaving dirty dishes in the sink for days,Bad habit
Practicing good posture,Good Habit
Taking time to appreciate nature and the environment,Good Habit
Taking breaks from work to move around and stretch,Good Habit
"Not being able to say ""no"" when necessary",Bad habit
Smoking cigarettes or tobacco products,Bad habit
Finding ways to give back to the community or volunteer,Good Habit
"Setting realistic goals and breaking them down into smaller, achievable steps",Good Habit
Spending too much time on social media,Bad habit
Not stretching enough throughout the day,Bad habit
Drinking green tea instead of sugary drinks,Good Habit
Not judging others,Good Habit
Trying new foods or cuisines,Good Habit
Not spending enough time with loved ones and friends,Bad habit
Practicing forgiveness towards oneself and others,Good Habit
Not being able to take risks,Bad habit
Not standing up for yourself when necessary,Bad habit
Finding ways to stay motivated and focused on goals,Good Habit
Being unable to ask for help when you need it,Bad habit
Not reading enough books or engaging in intellectual pursuits,Bad habit
Practicing gratitude every day,Good Habit
Not giving up easily,Good Habit
"Using public transportation, biking, or walking instead of driving when possible",Good Habit
Not being able to manage time effectively,Bad habit
Setting achievable goals for the day/week/month,Good Habit
Not exercising regularly,Bad habit
Constantly checking your phone,Bad habit
Finding ways to volunteer or give back to the community,Good Habit
Being too easily distracted,Bad habit
Not being punctual,Bad habit
Not using turn signals while driving,Bad habit
Practicing self-compassion during times of stress or difficulty,Good Habit
Practicing mindfulness when eating to promote mindful and intuitive eating,Good Habit
Being too quick to judge others,Bad habit
Being mindful of one's spending habits,Good Habit
Meditating for at least 10 minutes a day,Good Habit
Not dwelling on the past,Good Habit
Ignoring dental hygiene,Bad habit
Not being able to control your temper,Bad habit
Being too defensive,Bad habit
Spending money impulsively instead of saving,Bad habit
Failing to follow through on personal goals,Bad habit
Finding ways to manage time more effectively,Good Habit
Making time for creativity or artistic expression,Good Habit
Being consistently late to appointments,Bad habit
"Setting aside time for creative expression, such as writing or drawing",Good Habit
Doing a random act of kindness every day,Good Habit
Failing to exercise regularly,Bad habit
Not being able to handle uncertainty,Bad habit
Not wearing a seatbelt while driving,Bad habit
"Saying ""no"" to things that don't align with your values or priorities",Good Habit
Not being assertive enough,Bad habit
Not being able to ask for help when needed,Bad habit
